text,label
"Cold food, nothing special for birthday, wrong booked table wanted terrace, limited menu options, dirty toilets.",0
Great ambiance. Really Great service. Creative menu options. Good value for the quality.,1
"The host gave us an amazing table for us to sit at, our waiter gave us the best recommendations, he made us feel comfortable and helped us understand the menu. Overall it was amazing we’d definitely dine here again",1
"Beyond disappointed with the service at Mr Whites. Booked months in advance for a special occasion, but “because of walk ins” the five seater we’d booked wasn’t free so they tried to sit us on a very small four seater. When realising that would not work, they moved us upstairs, took our order and it went from bad to worse! Drinks arrived 25 minutes later, after an hour they came to inform us that one of the main dishes we’d ordered was no longer available and hadn’t even realised we still hadn’t had our starters (salad just in case you wonder if it was a tricky one to prepare). Meanwhile other tables arrived, ate, paid and left around us - repeatedly! After almost two hours of waiting and simply no service, we told them we were leaving to get food elsewhere as we were running out of time to get to the theatre (something we had told them from the start and before you think we hadn’t given ourselves won out time, we’d booked for five for theatre at 8 which, in London is usually ample time). At this point they finally apologised and said there had been a ‘hiccup’, but couldn’t explain how said hiccup could occurs despite us highlighting we still hadn’t had our food - repeatedly! Other diners obviously thought we were being difficult, but of course wouldn’t have been aware that two groups had sat at their table and eaten in the time we were there! I am so disappointed and would never go back. If you want to ensure a nice, reliable meal in London I would avoid this place like the plague… I only wish I’d read more reviews before we booked as this clearly an ongoing issue. I really dislike giving bad reviews, especially after the two years that the hospitality industry has had, but on this occasion the service was so shocking I feel it warrants it.",0
Slow service initially but improved once drinks arrived. Well presented and delicious food,1
"The food was fantastic, technical but decent portions with a menu catering for varied tastes. The staff were really friendly and good service. Overall a lovely evening and great value, I look forward to going again sometime in the not too distant future.",1
"he burger fell apart. To call something a RAGIN’ BULL, was an absolute exaggeration. I was so excited by all the ingredients: grass-fed beef, jalapeños, chillied red onion, fries, habanero mayo. But it was so bland. The sweet potato fries had zero seasoning. At least the service was nice. Too bad the food was as bland as bland can be.",0
"The restaurant is small, cramped and doesn’t feel very welcoming. The food is average at best, spiced up with truffles and caviar to justify the ridiculous prices and not actually good. (Just dropping caviar on edamame doesn’t make it better.) In total it was an utterly disappointing experience.",0
The food was delicious and service attentive without being “in your face”. We especially liked the noise levels as it enabled easy conversation while feeling part of a buzzy crowd.,1
"I made a reservation to invite some British friends and we wished to have a dinner in a good Italian restaurant. When we arrived we understood our table was in a room with no windows in the basement floor. The ambiance, the noise level and the cigarette smoke smell made us feel uncomfortable towards our friends, despite the princely but good food.",0
